ClaimId,PolicyHolderAge,PolicyTenureYears,ClaimAmount,IncidentHour,IncidentType,VehicleAge,NumPreviousClaims,PoliceReportFiled,WitnessPresent,AgentId,ClaimDescription,SubmissionDelayDays,IsFraudulent
CLM-000273,31,17.3,8127,18,Fire,14,4,1,1,AGT-448,Break-in damage to driver door,43,0
CLM-000274,73,18,5854,14,Vandalism,13,1,1,1,AGT-507,Rear-end collision on highway,16,0
CLM-000275,22,1.3,28987,15,Weather,0,5,1,1,AGT-366,,5,0
CLM-000276,72,17.5,55424,21,Vandalism,6,3,1,0,AGT-754,Vehicle stolen from parking lot,13,0
CLM-000277,25,2.1,61334,16,Fire,10,2,1,0,AGT-588,Rear-end collision on highway,29,0
CLM-000278,63,13.8,28652,7,Vandalism,,3,1,1,AGT-464,Single vehicle skid on wet road,9,0
CLM-000279,42,6.4,81913,10,Medical,8,2,1,1,AGT-627,Rear-end collision on highway,27,0
CLM-000280,76,1.3,21403,2,Weather,14,4,1,0,AGT-971,Vehicle stolen from parking lot,18,0
CLM-000281,65,5.6,66955,12,Theft,15,1,1,1,AGT-757,Break-in damage to driver door,39,0
CLM-000282,58,11.4,11251,11,Fire,14,0,1,0,AGT-879,Hail damage to roof and hood,10,0
CLM-000283,78,10,17842,4,Weather,10,2,1,1,AGT-774,Vehicle stolen from parking lot,28,0
CLM-000284,23,10.9,35090,1,Vandalism,2,2,0,1,AGT-997,Hail damage to roof and hood,19,0
CLM-000285,25,6.1,37023,0,Theft,13,3,1,1,AGT-819,Break-in damage to driver door,28,0
CLM-000286,33,8.3,1598,0,Theft,5,5,1,0,AGT-515,Vehicle stolen from parking lot,27,0
CLM-000287,41,0.9,636,19,Theft,16,0,1,0,AGT-709,Vehicle stolen from parking lot,20,0
CLM-000288,43,8.6,68483,13,Weather,10,5,1,0,AGT-980,,1,1
CLM-000289,24,18.8,68449,18,Medical,14,5,1,0,AGT-799,Rear-end collision on highway,4,0
CLM-000290,58,2.8,36140,2,Theft,17,0,1,1,AGT-753,Hail damage to roof and hood,42,0
CLM-000291,63,13.3,5402,6,Collision,18,2,0,1,AGT-634,Hail damage to roof and hood,23,1
CLM-000292,65,14.9,3023,4,Theft,13,4,0,0,AGT-622,Vehicle stolen from parking lot,13,0
CLM-000293,70,4.1,22820,20,Vandalism,3,4,1,1,AGT-676,Hail damage to roof and hood,42,1
CLM-000294,54,5.9,28372,1,Collision,2,4,0,0,AGT-969,Vehicle stolen from parking lot,0,0
CLM-000295,36,18.8,18014,21,Fire,11,5,1,0,AGT-883,Break-in damage to driver door,30,1
CLM-000296,62,13.5,71898,22,Weather,12,3,1,1,AGT-730,Rear-end collision on highway,25,1
CLM-000297,66,17.7,6201,21,Theft,7,5,1,0,AGT-226,Break-in damage to driver door,42,1
CLM-000298,63,3.3,58518,1,Medical,15,1,0,0,AGT-594,Break-in damage to driver door,16,1
CLM-000299,30,6.5,60468,16,Weather,,5,0,0,AGT-223,Rear-end collision on highway,17,0
CLM-000300,36,8.7,66941,0,Collision,7,3,1,1,AGT-469,Hail damage to roof and hood,42,0
CLM-000301,61,6.4,34118,2,Theft,1,2,1,1,AGT-639,,41,1
CLM-000302,23,14.8,55668,8,Weather,9,3,0,0,AGT-342,Single vehicle skid on wet road,29,1
CLM-000303,55,1.6,6343,1,Theft,15,0,0,0,AGT-324,,14,0
CLM-000304,33,12,34425,7,Collision,12,1,0,0,AGT-319,Break-in damage to driver door,35,1
CLM-000305,68,18.9,25564,7,Vandalism,2,3,1,0,AGT-313,Break-in damage to driver door,15,0
CLM-000306,35,16.9,31310,2,Weather,1,2,0,0,AGT-313,,39,1
CLM-000307,55,11.1,20025,21,Medical,5,1,1,1,AGT-985,Single vehicle skid on wet road,0,0
CLM-000308,39,15.5,51432,11,Theft,5,1,0,0,AGT-796,Single vehicle skid on wet road,10,1
CLM-000309,46,12.3,48480,3,Vandalism,18,5,1,1,AGT-837,Single vehicle skid on wet road,15,0
CLM-000310,69,12.4,43918,6,Vandalism,17,3,0,1,AGT-826,Single vehicle skid on wet road,29,0
CLM-000311,28,1.1,82548,20,Fire,13,1,1,0,AGT-325,Break-in damage to driver door,0,0
CLM-000312,55,5.6,42649,19,Collision,13,4,1,1,AGT-165,Single vehicle skid on wet road,25,0
CLM-000313,46,9.5,82282,2,Vandalism,16,4,1,0,AGT-991,Break-in damage to driver door,15,0
CLM-000314,67,18.6,67916,21,Weather,15,1,0,1,AGT-723,Vehicle stolen from parking lot,12,1
CLM-000315,61,9.4,8774,6,Fire,17,5,1,0,AGT-282,Single vehicle skid on wet road,38,1
CLM-000316,28,4.1,35721,19,Medical,12,2,0,0,AGT-649,Single vehicle skid on wet road,1,0
CLM-000317,31,1.2,992,5,Fire,10,1,1,1,AGT-542,Hail damage to roof and hood,14,0
CLM-000318,70,17.3,30653,0,Medical,15,4,1,0,AGT-603,Single vehicle skid on wet road,20,0
CLM-000319,38,17.7,41588,23,Collision,4,3,0,0,AGT-779,Rear-end collision on highway,4,1
CLM-000320,50,12.1,33997,2,Weather,1,0,0,1,AGT-860,Break-in damage to driver door,29,0
CLM-000321,66,14.8,26267,14,Weather,0,3,1,1,AGT-661,Vehicle stolen from parking lot,26,1
CLM-000322,43,15,40201,4,Medical,12,0,1,0,AGT-670,Rear-end collision on highway,17,1
CLM-000323,22,10.6,24502,23,Fire,10,4,1,0,AGT-198,Single vehicle skid on wet road,16,1
CLM-000324,72,2.6,10032,13,Collision,0,5,1,0,AGT-640,Break-in damage to driver door,29,1
CLM-000325,76,18.2,81860,20,Theft,17,4,0,1,AGT-363,Single vehicle skid on wet road,15,0
CLM-000326,74,19.2,46886,13,Weather,1,0,1,0,AGT-655,Hail damage to roof and hood,44,1
CLM-000327,77,12.9,6254,14,Collision,9,5,0,1,AGT-627,Break-in damage to driver door,12,1
CLM-000328,24,13.8,53270,13,Collision,0,3,1,1,AGT-231,Hail damage to roof and hood,7,0
CLM-000329,25,6.2,20686,11,Collision,4,3,1,1,AGT-603,Vehicle stolen from parking lot,11,0
CLM-000330,72,10.5,80212,10,Collision,9,0,1,1,AGT-868,,23,0
CLM-000331,40,11.6,25979,19,Vandalism,10,1,0,0,AGT-743,Rear-end collision on highway,31,0
CLM-000332,45,17.6,15708,11,Fire,8,4,1,1,AGT-416,Vehicle stolen from parking lot,28,0
CLM-000333,37,15.9,71771,8,Collision,15,0,0,0,AGT-340,Hail damage to roof and hood,30,0
CLM-000334,23,4,29540,11,Medical,1,0,0,0,AGT-436,Break-in damage to driver door,23,0
CLM-000335,70,15.1,49263,7,Vandalism,14,1,1,0,AGT-495,Rear-end collision on highway,44,1
CLM-000336,42,20,5950,19,Medical,13,4,1,0,AGT-241,Vehicle stolen from parking lot,29,1
CLM-000337,39,7.9,51584,3,Vandalism,8,4,1,1,AGT-165,,40,1
CLM-000338,67,7.4,26310,13,Collision,2,2,1,1,AGT-236,,14,0
CLM-000339,33,0.9,78450,6,Weather,,2,1,1,AGT-808,Hail damage to roof and hood,23,1
CLM-000340,35,17.2,76045,8,Weather,,4,1,0,AGT-919,Single vehicle skid on wet road,5,1
CLM-000341,52,7.1,46487,15,Weather,14,1,1,1,AGT-984,Hail damage to roof and hood,16,0
CLM-000342,57,10.5,24046,22,Collision,10,1,1,1,AGT-337,Vehicle stolen from parking lot,23,0
CLM-000343,63,1.2,59517,20,Vandalism,0,5,0,0,AGT-323,Vehicle stolen from parking lot,24,1
CLM-000344,35,13,15223,12,Medical,12,4,1,1,AGT-162,Hail damage to roof and hood,34,0
CLM-000345,27,1.7,31145,10,Weather,7,2,1,0,AGT-839,Single vehicle skid on wet road,24,0
CLM-000346,59,3.1,38332,23,Theft,10,2,0,1,AGT-713,Single vehicle skid on wet road,8,1
CLM-000347,51,1.8,45364,20,Vandalism,14,4,0,0,AGT-482,Single vehicle skid on wet road,41,1
CLM-000348,26,5,43734,8,Medical,1,1,1,1,AGT-859,Break-in damage to driver door,35,1
CLM-000349,40,5.3,7761,22,Fire,17,0,0,0,AGT-847,Single vehicle skid on wet road,13,0
CLM-000350,62,13.7,3876,17,Vandalism,10,4,1,0,AGT-713,Vehicle stolen from parking lot,11,0
CLM-000351,77,7.2,41151,16,Vandalism,16,4,0,0,AGT-820,,9,1
CLM-000352,24,11.1,53361,10,Theft,6,2,1,1,AGT-824,Break-in damage to driver door,39,1
CLM-000353,33,11.7,17364,20,Medical,12,4,0,0,AGT-915,Rear-end collision on highway,25,0
CLM-000354,56,18,10642,9,Fire,10,3,1,1,AGT-663,Rear-end collision on highway,23,0
CLM-000355,26,5.8,27351,5,Weather,3,2,0,1,AGT-640,Single vehicle skid on wet road,20,1
CLM-000356,61,16,22180,23,Fire,7,5,1,1,AGT-866,Break-in damage to driver door,29,0
CLM-000357,73,19.4,46557,19,Weather,10,5,0,1,AGT-556,Single vehicle skid on wet road,3,0
CLM-000358,31,1.2,9557,16,Vandalism,4,5,1,0,AGT-457,Rear-end collision on highway,28,1
CLM-000359,59,12.7,36420,14,Medical,17,0,1,0,AGT-275,Break-in damage to driver door,23,0
CLM-000360,52,19.3,69482,8,Collision,9,2,0,0,AGT-631,Vehicle stolen from parking lot,15,1
CLM-000361,73,2.8,73906,1,Theft,0,3,0,1,AGT-627,Single vehicle skid on wet road,13,0
CLM-000362,71,5.3,83795,3,Theft,0,2,1,1,AGT-893,Single vehicle skid on wet road,20,0
CLM-000363,39,5.8,71839,21,Theft,6,4,1,1,AGT-590,,24,0
CLM-000364,76,16.1,55244,0,Fire,11,4,1,0,AGT-960,Vehicle stolen from parking lot,23,0
CLM-000365,50,10,82603,9,Vandalism,9,4,1,0,AGT-377,Rear-end collision on highway,31,0
CLM-000366,56,13.6,2079,13,Weather,3,4,1,0,AGT-979,Vehicle stolen from parking lot,28,0
CLM-000367,77,10.4,62937,19,Theft,6,5,1,1,AGT-105,Single vehicle skid on wet road,16,1
CLM-000368,42,6.6,42287,16,Vandalism,15,0,1,0,AGT-491,Break-in damage to driver door,29,0
CLM-000369,75,11,11612,19,Weather,7,2,1,1,AGT-422,Rear-end collision on highway,15,0
CLM-000370,30,13.4,31673,4,Weather,8,4,1,0,AGT-999,Break-in damage to driver door,26,0
CLM-000371,50,3.3,51096,8,Theft,10,0,1,0,AGT-603,Hail damage to roof and hood,45,0
CLM-000372,66,13.6,38527,5,Theft,,3,0,0,AGT-718,,15,0
CLM-000373,35,3.4,63738,18,Fire,12,4,1,0,AGT-717,Hail damage to roof and hood,10,0
CLM-000374,50,12.4,68478,10,Theft,17,3,1,1,AGT-731,Break-in damage to driver door,31,1
CLM-000375,22,13.3,6238,0,Theft,3,2,0,1,AGT-606,Break-in damage to driver door,16,0
CLM-000376,25,14.9,69566,6,Fire,9,4,0,1,AGT-922,Single vehicle skid on wet road,15,0
CLM-000377,22,7.7,82722,17,Weather,13,1,1,1,AGT-841,Single vehicle skid on wet road,6,0
CLM-000378,57,3.2,62797,19,Vandalism,0,1,1,1,AGT-546,Hail damage to roof and hood,20,0
CLM-000379,27,2.2,31880,7,Fire,13,2,0,0,AGT-578,Rear-end collision on highway,13,0
CLM-000380,24,4.1,29173,22,Vandalism,9,0,0,0,AGT-599,Hail damage to roof and hood,14,0
CLM-000381,54,5.5,72454,7,Medical,14,2,0,1,AGT-335,,36,0
CLM-000382,51,13,27392,5,Theft,12,0,1,1,AGT-215,Rear-end collision on highway,1,1
CLM-000383,37,4.5,29478,14,Collision,16,2,0,0,AGT-971,Single vehicle skid on wet road,15,0
CLM-000384,25,16.3,56447,4,Collision,7,4,0,1,AGT-145,Hail damage to roof and hood,39,0
CLM-000385,43,15.7,17181,15,Fire,,5,1,1,AGT-401,Break-in damage to driver door,44,0
CLM-000386,56,3.7,60362,10,Medical,13,5,1,1,AGT-261,Single vehicle skid on wet road,20,0
CLM-000387,64,3.2,78267,22,Theft,10,0,0,0,AGT-167,,17,0
CLM-000388,34,4.4,9374,10,Medical,1,3,0,1,AGT-358,Rear-end collision on highway,0,0
CLM-000389,50,7.1,27709,11,Vandalism,8,1,1,1,AGT-821,,27,0
CLM-000390,40,5.3,44109,19,Theft,1,2,0,0,AGT-741,Rear-end collision on highway,4,0
CLM-000391,43,18,20119,20,Vandalism,5,1,1,0,AGT-856,Single vehicle skid on wet road,36,0
CLM-000392,76,8.2,45715,18,Vandalism,4,0,1,0,AGT-821,,21,1
CLM-000393,73,4.6,66553,13,Collision,9,1,1,1,AGT-287,Hail damage to roof and hood,7,0
CLM-000394,63,8.6,61855,7,Weather,1,3,0,0,AGT-698,Single vehicle skid on wet road,5,0
CLM-000395,27,10.2,49157,11,Vandalism,15,4,1,1,AGT-449,Hail damage to roof and hood,14,1
CLM-000396,58,3.8,69275,10,Medical,16,0,1,0,AGT-177,Rear-end collision on highway,35,0
CLM-000397,70,18.1,45164,4,Collision,5,0,1,1,AGT-257,Rear-end collision on highway,13,0
CLM-000398,62,17.1,15718,2,Medical,2,2,1,1,AGT-367,Single vehicle skid on wet road,36,1
CLM-000399,51,9.4,36118,17,Theft,7,2,0,1,AGT-680,Break-in damage to driver door,38,0
CLM-000400,28,12.9,79101,1,Medical,9,5,0,0,AGT-489,Rear-end collision on highway,10,0
CLM-000401,40,18.2,60134,5,Medical,12,3,0,0,AGT-432,Rear-end collision on highway,37,0
CLM-000402,50,5.7,37883,12,Fire,5,1,0,1,AGT-667,,17,1
CLM-000403,26,8,61534,23,Weather,,0,0,1,AGT-184,Break-in damage to driver door,18,0
CLM-000404,34,16.6,77834,20,Vandalism,6,1,1,1,AGT-430,Vehicle stolen from parking lot,26,0
CLM-000405,23,19.5,49052,8,Vandalism,1,3,0,0,AGT-572,Rear-end collision on highway,12,0
CLM-000406,38,0.5,52154,8,Theft,18,3,1,1,AGT-332,Hail damage to roof and hood,15,0
CLM-000407,34,9.3,9266,22,Medical,9,5,0,1,AGT-612,Rear-end collision on highway,7,0
CLM-000408,57,14.9,78454,22,Medical,15,1,0,1,AGT-874,Single vehicle skid on wet road,16,1
CLM-000409,55,6.5,2432,3,Fire,0,0,1,1,AGT-263,Break-in damage to driver door,37,0
CLM-000410,24,1.9,38655,18,Medical,18,3,0,1,AGT-741,,40,1
CLM-000411,37,2.3,17007,4,Collision,10,3,0,1,AGT-720,,10,0
CLM-000412,27,7.4,29507,14,Medical,11,0,1,0,AGT-269,Break-in damage to driver door,0,0
CLM-000413,30,1.4,75844,4,Medical,4,2,0,0,AGT-206,Hail damage to roof and hood,43,0
CLM-000414,28,11.6,54535,18,Medical,18,3,0,1,AGT-258,Rear-end collision on highway,19,0
CLM-000415,41,15.2,24456,2,Collision,5,0,1,1,AGT-653,Hail damage to roof and hood,31,1
CLM-000416,22,3.1,41189,16,Collision,18,5,1,0,AGT-334,,44,0
CLM-000417,62,3.6,7178,1,Theft,8,1,1,1,AGT-553,Hail damage to roof and hood,29,0
CLM-000418,24,18.3,14511,21,Theft,18,0,1,1,AGT-185,Vehicle stolen from parking lot,40,0
CLM-000419,52,6.4,22665,3,Theft,8,4,0,1,AGT-883,Hail damage to roof and hood,45,1
CLM-000420,59,14.2,5903,1,Collision,,0,0,0,AGT-626,Single vehicle skid on wet road,22,1
CLM-000421,46,20,40473,3,Vandalism,9,1,0,0,AGT-716,,34,1
CLM-000422,77,6.7,75909,21,Vandalism,9,0,1,0,AGT-354,Hail damage to roof and hood,1,0
CLM-000423,55,17.2,25006,7,Fire,4,1,0,1,AGT-684,Vehicle stolen from parking lot,20,0
CLM-000424,39,1.7,65017,13,Fire,0,1,0,0,AGT-884,Hail damage to roof and hood,21,0
CLM-000425,30,2,49730,23,Vandalism,17,0,0,0,AGT-542,Single vehicle skid on wet road,17,0
CLM-000426,61,11,7799,0,Weather,9,0,0,1,AGT-144,Hail damage to roof and hood,41,1
CLM-000427,58,12.1,31986,5,Medical,5,5,0,0,AGT-696,Single vehicle skid on wet road,37,1
CLM-000428,38,6.7,1422,13,Vandalism,4,4,1,1,AGT-341,Break-in damage to driver door,18,0
CLM-000429,31,10,51904,14,Vandalism,12,2,1,0,AGT-374,Single vehicle skid on wet road,12,0
CLM-000430,33,4.5,74430,1,Theft,12,4,1,1,AGT-256,Vehicle stolen from parking lot,20,0
CLM-000431,32,4.2,80333,8,Collision,13,2,0,1,AGT-203,Rear-end collision on highway,6,0
CLM-000432,42,17,19541,21,Vandalism,2,1,1,1,AGT-966,Vehicle stolen from parking lot,28,0
CLM-000433,43,6.4,50595,23,Medical,2,0,1,1,AGT-523,Break-in damage to driver door,27,1
CLM-000434,35,16.2,19570,16,Vandalism,5,5,0,1,AGT-116,Break-in damage to driver door,42,1
CLM-000435,45,18.1,78154,22,Collision,12,0,1,1,AGT-409,Single vehicle skid on wet road,23,1
CLM-000436,55,18.5,54535,18,Medical,17,3,0,1,AGT-247,Rear-end collision on highway,6,0
CLM-000437,36,16.7,19385,11,Fire,9,5,1,1,AGT-480,,19,0
CLM-000438,37,6.1,82480,8,Vandalism,4,0,1,1,AGT-564,Break-in damage to driver door,36,1
CLM-000439,27,9.2,83814,5,Weather,12,3,1,1,AGT-570,Single vehicle skid on wet road,31,1
CLM-000440,74,19.3,3816,8,Vandalism,6,4,1,0,AGT-307,Single vehicle skid on wet road,35,0
CLM-000441,44,11.6,34878,6,Theft,13,4,1,1,AGT-602,Break-in damage to driver door,11,0
CLM-000442,66,19.2,16171,2,Vandalism,3,4,1,0,AGT-916,Rear-end collision on highway,25,1
CLM-000443,72,16.8,15179,4,Medical,2,5,1,0,AGT-742,Break-in damage to driver door,1,1
CLM-000444,76,2.2,45211,8,Fire,18,4,0,1,AGT-811,Vehicle stolen from parking lot,14,1
CLM-000445,38,5.5,9567,20,Vandalism,4,3,0,1,AGT-276,Rear-end collision on highway,35,0
CLM-000446,45,18.5,31712,20,Weather,,2,0,0,AGT-871,Break-in damage to driver door,15,1
CLM-000447,42,10.9,46324,7,Vandalism,6,0,0,0,AGT-317,Vehicle stolen from parking lot,45,0
CLM-000448,52,12.2,6226,17,Collision,15,0,1,0,AGT-747,Vehicle stolen from parking lot,5,0
CLM-000449,38,0.5,15700,18,Theft,4,2,1,1,AGT-701,Rear-end collision on highway,1,0
CLM-000450,66,10.5,82054,6,Collision,5,2,1,0,AGT-818,Vehicle stolen from parking lot,29,0
CLM-000451,28,13.1,52068,19,Fire,7,0,1,0,AGT-915,Single vehicle skid on wet road,33,1
CLM-000452,66,18.7,697,23,Weather,12,2,0,0,AGT-630,Hail damage to roof and hood,18,1
CLM-000453,28,17.1,3930,20,Vandalism,6,0,1,0,AGT-650,Vehicle stolen from parking lot,30,1
CLM-000454,48,13.1,35488,4,Fire,1,1,1,0,AGT-770,Hail damage to roof and hood,10,0
CLM-000455,39,11.8,27465,16,Medical,13,4,1,1,AGT-180,Hail damage to roof and hood,38,1
CLM-000456,55,16.2,53716,13,Fire,7,3,0,0,AGT-598,Rear-end collision on highway,12,0
CLM-000457,25,16,26397,1,Medical,5,4,1,1,AGT-979,Rear-end collision on highway,36,0
CLM-000458,72,19,48957,18,Fire,12,0,1,1,AGT-297,Rear-end collision on highway,36,0
CLM-000459,36,18.5,43592,22,Fire,6,1,0,0,AGT-329,Vehicle stolen from parking lot,34,1
CLM-000460,55,0.8,6707,22,Collision,17,3,1,0,AGT-593,Vehicle stolen from parking lot,24,0
CLM-000461,62,8.2,6404,13,Medical,11,3,1,0,AGT-586,Single vehicle skid on wet road,15,1
CLM-000462,62,19.2,3349,13,Theft,3,5,0,1,AGT-338,Vehicle stolen from parking lot,45,0
CLM-000463,75,2.2,58983,19,Fire,10,4,0,1,AGT-431,Hail damage to roof and hood,38,0
CLM-000464,37,19.8,3606,23,Weather,7,5,0,1,AGT-579,Rear-end collision on highway,19,0
CLM-000465,41,9.6,11188,6,Weather,9,4,1,1,AGT-909,Rear-end collision on highway,36,1
CLM-000466,46,10.2,54950,6,Theft,5,2,1,0,AGT-453,,33,1
CLM-000467,64,6.9,55699,9,Fire,1,2,1,0,AGT-104,Hail damage to roof and hood,20,1
CLM-000468,76,9.2,36942,14,Medical,16,4,0,0,AGT-495,Hail damage to roof and hood,10,0
CLM-000469,41,17.2,37056,5,Weather,13,3,0,1,AGT-777,Rear-end collision on highway,31,1
CLM-000470,42,6.6,73699,23,Collision,7,5,1,0,AGT-193,Break-in damage to driver door,1,0
CLM-000471,33,2.5,22275,17,Theft,2,3,1,0,AGT-814,Rear-end collision on highway,40,0
CLM-000472,50,13.7,50850,19,Fire,13,0,1,0,AGT-179,Break-in damage to driver door,45,1
CLM-000473,42,16.6,52789,17,Collision,9,5,1,0,AGT-495,Break-in damage to driver door,3,0
CLM-000474,69,17.7,24391,13,Medical,9,1,0,0,AGT-614,Rear-end collision on highway,2,0
CLM-000475,65,13.5,29373,18,Medical,13,1,1,1,AGT-326,Rear-end collision on highway,30,0
CLM-000476,48,11.9,9620,5,Fire,2,4,1,1,AGT-468,Rear-end collision on highway,6,0
CLM-000477,60,4.5,53569,14,Theft,15,2,1,0,AGT-810,Break-in damage to driver door,38,0
CLM-000478,35,14,24155,11,Theft,5,0,1,1,AGT-182,Break-in damage to driver door,13,0
CLM-000479,73,0.6,29909,9,Weather,1,0,0,1,AGT-382,Break-in damage to driver door,5,0
CLM-000480,47,3.1,8952,1,Medical,4,1,1,1,AGT-875,Single vehicle skid on wet road,14,0
CLM-000481,33,12.4,75403,5,Fire,13,1,1,0,AGT-407,Single vehicle skid on wet road,37,1
CLM-000482,68,11.4,6478,7,Medical,11,1,1,1,AGT-374,Hail damage to roof and hood,45,0
CLM-000483,53,7.6,68734,9,Vandalism,12,2,1,1,AGT-388,Single vehicle skid on wet road,13,0
CLM-000484,72,7.9,59983,0,Medical,4,3,1,0,AGT-674,Rear-end collision on highway,18,0
CLM-000485,30,15.6,84645,5,Fire,7,1,1,0,AGT-686,Rear-end collision on highway,23,1
CLM-000486,58,12.5,65167,14,Collision,13,2,0,1,AGT-783,Rear-end collision on highway,6,0
CLM-000487,56,4,41125,12,Theft,11,1,1,0,AGT-948,Break-in damage to driver door,12,0
CLM-000488,42,14.4,67790,20,Theft,7,3,0,1,AGT-440,Rear-end collision on highway,17,0
CLM-000489,43,3.6,2035,19,Weather,1,5,1,0,AGT-482,Rear-end collision on highway,40,1
CLM-000490,50,1.7,38625,19,Theft,8,1,0,1,AGT-545,Hail damage to roof and hood,25,0
CLM-000491,38,8.3,81663,21,Collision,18,2,1,0,AGT-435,Vehicle stolen from parking lot,23,1
CLM-000492,50,2.8,78161,16,Collision,2,4,1,1,AGT-441,Hail damage to roof and hood,22,0
CLM-000493,60,19.5,22887,14,Fire,1,4,1,1,AGT-298,Break-in damage to driver door,29,1
CLM-000494,37,19.1,21675,15,Theft,13,1,0,1,AGT-973,,14,1
CLM-000495,50,2.2,58305,13,Weather,7,1,0,1,AGT-234,,18,1
CLM-000496,72,14.2,70789,23,Medical,6,3,1,1,AGT-632,Rear-end collision on highway,0,0
CLM-000497,60,2.8,38303,15,Medical,6,0,1,1,AGT-722,Hail damage to roof and hood,4,0
CLM-000498,78,13.6,46378,13,Collision,11,0,1,0,AGT-763,Single vehicle skid on wet road,36,1
CLM-000499,26,5.3,60890,20,Fire,6,1,0,1,AGT-366,Rear-end collision on highway,0,0
CLM-000500,34,1.7,40167,0,Theft,14,5,1,1,AGT-585,,35,1
CLM-000501,40,19.5,83005,1,Collision,18,2,0,0,AGT-987,Vehicle stolen from parking lot,45,0
CLM-000502,71,17,55046,15,Collision,3,0,1,1,AGT-532,Rear-end collision on highway,5,0
CLM-000503,61,16.8,16979,22,Fire,17,2,1,0,AGT-253,Break-in damage to driver door,43,0
CLM-000504,33,9,4009,6,Medical,11,5,1,1,AGT-490,Single vehicle skid on wet road,25,0
CLM-000505,57,8.9,37548,15,Theft,6,3,1,1,AGT-281,,15,0
CLM-000506,56,10.7,29507,6,Medical,3,3,1,0,AGT-842,Single vehicle skid on wet road,11,1
CLM-000507,37,9.1,52102,2,Medical,13,4,1,1,AGT-789,,24,1
CLM-000508,52,11.1,57033,18,Weather,17,4,1,0,AGT-904,Vehicle stolen from parking lot,37,1
CLM-000509,59,13.2,42750,23,Vandalism,5,0,1,0,AGT-732,Break-in damage to driver door,0,0
CLM-000510,65,12.3,69037,2,Medical,3,1,0,0,AGT-602,Hail damage to roof and hood,11,0
CLM-000511,48,10.7,79957,2,Fire,7,1,1,0,AGT-370,,0,0
CLM-000512,65,1.6,20356,18,Medical,4,3,0,1,AGT-665,,4,0
CLM-000513,25,11.1,76411,1,Theft,0,5,1,1,AGT-343,Single vehicle skid on wet road,26,1
CLM-000514,26,1.2,5998,14,Fire,17,4,1,1,AGT-197,Rear-end collision on highway,32,1
CLM-000515,22,10.4,23110,15,Fire,14,1,1,0,AGT-988,Vehicle stolen from parking lot,30,0
CLM-000516,30,14,44163,3,Medical,12,5,1,0,AGT-867,Rear-end collision on highway,6,1
CLM-000517,37,11.3,50119,22,Theft,5,5,1,1,AGT-658,Break-in damage to driver door,35,1
CLM-000518,36,7.7,33986,23,Medical,17,1,1,0,AGT-691,Break-in damage to driver door,30,0
CLM-000519,77,14.8,34713,8,Collision,15,3,0,1,AGT-575,,30,0
CLM-000520,63,1.9,70639,15,Medical,8,1,1,1,AGT-875,Break-in damage to driver door,7,0
CLM-000521,31,3.9,33428,4,Medical,14,5,1,1,AGT-533,Hail damage to roof and hood,25,0
CLM-000522,39,16.5,26833,4,Fire,16,4,0,1,AGT-487,Vehicle stolen from parking lot,13,1
CLM-000523,72,4.8,30541,9,Medical,4,4,0,0,AGT-500,Break-in damage to driver door,32,0
CLM-000524,78,3.1,44704,13,Theft,8,5,1,1,AGT-997,Break-in damage to driver door,20,1
CLM-000525,55,2,7721,23,Weather,0,5,1,0,AGT-296,Single vehicle skid on wet road,40,0
CLM-000526,23,3.3,71268,11,Medical,17,5,1,1,AGT-341,Vehicle stolen from parking lot,20,1
CLM-000527,54,13.7,43650,8,Weather,3,5,0,0,AGT-330,Single vehicle skid on wet road,18,0
CLM-000528,30,5.4,21779,18,Weather,14,0,1,0,AGT-840,Vehicle stolen from parking lot,30,0
CLM-000529,56,12.6,56111,12,Weather,18,4,1,1,AGT-365,Hail damage to roof and hood,31,0
CLM-000530,52,5.6,55948,21,Vandalism,6,4,1,0,AGT-266,Rear-end collision on highway,8,0
CLM-000531,38,5.5,43528,20,Vandalism,0,4,1,0,AGT-293,Vehicle stolen from parking lot,37,0
CLM-000532,22,19.8,34750,22,Medical,12,1,0,1,AGT-659,Break-in damage to driver door,4,0
CLM-000533,40,5.1,78234,5,Vandalism,18,3,0,0,AGT-842,,12,1
CLM-000534,43,6.3,58256,17,Collision,,3,0,0,AGT-265,Break-in damage to driver door,2,0
CLM-000535,42,5.8,77836,4,Theft,15,1,1,0,AGT-246,Hail damage to roof and hood,8,0
CLM-000536,74,9.8,83016,21,Fire,16,0,1,1,AGT-207,Break-in damage to driver door,40,0
CLM-000537,42,2.1,77621,20,Theft,14,4,0,0,AGT-620,Break-in damage to driver door,43,0
CLM-000538,56,9.4,25514,3,Collision,5,0,1,1,AGT-609,Break-in damage to driver door,12,1
CLM-000539,36,20,77472,14,Collision,,2,0,0,AGT-438,Rear-end collision on highway,14,0
CLM-000540,51,6.9,59636,19,Theft,16,2,0,0,AGT-622,Break-in damage to driver door,3,0
CLM-000541,24,0.7,1292,7,Fire,2,2,0,1,AGT-643,,22,1
CLM-000542,39,5.7,38313,5,Collision,16,1,1,0,AGT-320,Rear-end collision on highway,25,1
CLM-000543,66,9.1,14005,4,Fire,1,1,1,1,AGT-925,Single vehicle skid on wet road,38,0
CLM-000544,51,4.4,44538,3,Fire,6,2,1,1,AGT-836,,40,0
CLM-000545,30,13.8,35690,7,Fire,15,1,0,1,AGT-296,Vehicle stolen from parking lot,18,0
