ApplicationId,AnnualRevenue,YearsInBusiness,IndustrySector,NumEmployees,ExistingDebtRatio,CollateralValue,CreditScore,LatePayments12m,Region,RiskGrade
APP-000380,214800,19.7,Construction,125,0.39,92124,729,3,North,D
APP-000381,1488861,19.8,Healthcare,345,0.38,621370,603,0,South,D
APP-000382,4651589,15.9,Healthcare,488,0.45,1334200,650,1,West,C
APP-000383,1490920,5.1,Agriculture,450,0.52,9188,799,5,North,C
APP-000384,1123947,20.1,Technology,266,0.28,955940,604,6,North,D
APP-000385,783377,27.6,Retail,114,0.18,815482,541,6,East,E
APP-000386,2842315,1.1,Technology,192,0.49,33534,666,3,Central,D
APP-000387,1766660,21.6,Construction,302,0.66,1805174,634,5,North,E
APP-000388,4832517,27.7,Manufacturing,491,0.24,250798,711,5,West,D
APP-000389,3380078,13,Agriculture,55,0.25,463572,678,5,North,D
APP-000390,4498926,8.8,Manufacturing,245,0.44,1650562,592,5,East,D
APP-000391,4737071,19.6,Construction,500,0.7,1011866,571,4,East,E
APP-000392,4622795,2.1,Manufacturing,452,0.12,1439414,638,5,South,D
APP-000393,3384959,9.4,Technology,258,0.8,605880,596,1,West,D
APP-000394,1014220,4.3,Agriculture,268,0.31,1273474,642,5,North,D
APP-000395,3672286,3.8,Technology,85,0.74,1208038,622,4,North,E
APP-000396,186442,16.2,Healthcare,288,0.44,727768,601,3,East,D
APP-000397,399648,11.9,Retail,480,0.55,74414,687,6,North,E
APP-000398,4990813,0.6,Technology,37,0.74,841166,615,5,Central,E
APP-000399,60004,20.4,Technology,419,0.75,474356,720,2,Central,D
APP-000400,3448517,18.8,Healthcare,102,0.83,695736,723,3,Central,E
APP-000401,3752818,13.7,Healthcare,219,0.31,185950,690,2,North,C
APP-000402,435570,13.9,Technology,341,0.79,1498750,680,6,East,E
APP-000403,4969112,22.5,Agriculture,201,0.72,292470,610,3,Central,D
APP-000404,422987,3.4,Technology,159,0.7,1665388,544,4,South,E
APP-000405,1621843,16.9,Healthcare,497,0.35,1890952,707,6,East,E
APP-000406,1375664,19.2,Manufacturing,368,0.4,433166,624,6,East,E
APP-000407,823928,9.4,Construction,392,0.68,425938,585,4,North,E
APP-000408,3040731,12.7,Construction,7,0.62,1263574,633,6,Central,E
APP-000409,4816335,17.4,Construction,225,0.28,11108,618,6,East,E
APP-000410,2122748,17.4,Healthcare,427,0.81,1178794,529,0,North,D
APP-000411,2176248,1.4,Manufacturing,184,0.73,244794,687,2,West,D
APP-000412,2100290,13.7,Manufacturing,166,0.84,1273122,597,4,West,E
APP-000413,3624865,5,Healthcare,250,0.87,279926,488,6,East,E
APP-000414,2299815,19.5,Retail,23,0.71,831624,768,5,North,D
APP-000415,4664246,7.1,Agriculture,192,0.75,1537880,600,1,Central,D
APP-000416,2059200,9.4,Technology,164,0.37,327654,702,4,South,D
APP-000417,2840835,7.1,Agriculture,161,0.62,1484234,733,0,South,C
APP-000418,3302402,9.8,Agriculture,27,0.8,626500,653,5,Central,E
APP-000419,913146,3.1,Healthcare,385,0.67,64092,632,5,South,B
APP-000420,3157729,21.3,Agriculture,219,0.32,1446962,735,6,South,D
APP-000421,4405728,13.3,Agriculture,209,0.27,1054844,739,3,Central,C
APP-000422,1820551,23.8,Construction,462,0.57,281740,665,1,West,D
APP-000423,276052,25.7,Manufacturing,262,0.45,,679,1,East,C
APP-000424,1562611,6.1,Construction,363,0.69,1015810,849,4,North,E
APP-000425,3076564,18,Technology,156,0.11,1207314,431,2,Central,D
APP-000426,571280,14.7,Manufacturing,476,0.78,1643766,614,4,East,E
APP-000427,4317286,13.9,Manufacturing,220,0.83,1235896,665,3,West,E
APP-000428,4690477,1.2,Construction,81,0.65,632970,508,6,South,E
APP-000429,2457408,17.1,Retail,122,0.64,875622,755,0,West,C
APP-000430,2700418,7.6,Technology,172,0.4,1419178,645,3,East,D
APP-000431,326052,2.6,Manufacturing,87,0.82,1694992,790,6,South,E
APP-000432,95783,29.7,Healthcare,100,0.31,1072050,756,2,North,C
APP-000433,1943207,27.3,Retail,257,0.35,,687,6,East,E
APP-000434,3310540,23.7,Retail,462,0.58,794752,581,6,North,E
APP-000435,300891,4.9,Technology,285,0.46,1911640,647,5,West,D
APP-000436,4302599,2.5,Retail,410,0.46,345868,551,4,South,E
APP-000437,324260,26.1,Healthcare,69,0.5,1792144,678,3,East,D
APP-000438,440733,11.6,Construction,39,0.4,861316,652,5,East,E
APP-000439,3027326,12.1,Construction,218,0.88,62932,685,2,West,D
APP-000440,2759962,24.3,Technology,236,0.62,,673,1,South,E
APP-000441,2474173,19.9,Technology,81,0.87,,652,5,West,E
APP-000442,1751909,2.1,Agriculture,13,0.15,810288,574,2,South,C
APP-000443,3568158,27.9,Retail,104,0.68,114784,686,0,North,C
APP-000444,1496682,27.4,Manufacturing,285,0.43,1546194,591,0,Central,C
APP-000445,1801107,20.3,Agriculture,33,0.24,119774,744,1,West,C
APP-000446,4025409,20,Construction,77,0.57,107990,647,6,South,E
APP-000447,1073789,5.3,Construction,420,0.82,1370892,811,4,East,B
APP-000448,2745488,19.2,Retail,105,0.89,1972140,738,4,Central,E
APP-000449,2596488,7,Manufacturing,64,0.61,198492,620,3,South,D
APP-000450,3739423,8.4,Retail,140,0.48,,744,1,East,C
APP-000451,3413773,16.6,Retail,273,0.7,105878,614,1,Central,D
APP-000452,237595,5.5,Healthcare,299,0.17,284918,613,2,North,C
APP-000453,887560,7.9,Manufacturing,439,0.79,787640,765,1,Central,C
APP-000454,101475,6.4,Manufacturing,480,0.86,1221430,628,1,South,D
APP-000455,1580629,4.6,Retail,215,0.35,1530978,606,0,West,B
APP-000456,4178686,3.9,Manufacturing,253,0.83,372414,661,0,West,D
APP-000457,435397,25.7,Healthcare,312,0.75,912076,695,6,North,E
APP-000458,3653328,2.9,Manufacturing,431,0.53,1716634,680,6,West,E
APP-000459,3469534,12.1,Agriculture,473,0.25,35646,550,1,Central,C
APP-000460,925462,14.8,Technology,320,0.64,516768,595,5,Central,E
APP-000461,4223469,17.8,Retail,150,0.24,1949662,792,1,East,B
APP-000462,1934787,20.4,Technology,188,0.73,996942,666,6,West,E
APP-000463,1464161,23.4,Manufacturing,455,0.26,886320,601,3,North,C
APP-000464,4048372,5,Construction,261,0.88,1912282,652,5,Central,A
APP-000465,1113824,29.5,Agriculture,315,0.8,1411976,515,2,East,E
APP-000466,3386820,28,Technology,466,0.79,842858,649,4,North,C
APP-000467,524804,6.8,Retail,474,0.45,962000,725,1,West,C
APP-000468,3535097,2,Construction,320,0.79,402916,607,1,North,D
APP-000469,3601150,11.1,Manufacturing,128,0.88,,585,2,Central,D
APP-000470,4967865,22.8,Construction,158,0.54,249432,804,6,East,E
APP-000471,397822,19.3,Technology,222,0.68,1643510,508,5,South,E
APP-000472,2694201,15.8,Retail,439,0.66,1005802,601,3,East,E
APP-000473,1673105,12.9,Construction,342,0.67,707632,577,5,South,E
APP-000474,3344403,27.7,Agriculture,72,0.64,1337594,571,2,South,D
APP-000475,1433852,23.4,Construction,34,0.79,1459056,651,1,West,D
APP-000476,443966,15.3,Construction,438,0.89,,564,4,South,D
APP-000477,175745,10.8,Construction,316,0.2,658088,487,2,East,C
APP-000478,4073919,24.7,Agriculture,85,0.67,527058,634,3,West,D
APP-000479,2787593,18.2,Agriculture,88,0.86,1985590,672,5,South,E
APP-000480,2875653,4.1,Construction,243,0.3,939720,613,0,Central,C
APP-000481,2753631,18.1,Construction,205,0.22,220000,815,0,North,B
APP-000482,4987714,7.6,Manufacturing,277,0.82,420664,753,5,North,E
APP-000483,1037282,2.9,Healthcare,5,0.35,1193944,695,1,North,C
APP-000484,3294012,8.3,Technology,122,0.46,1780454,665,4,North,D
APP-000485,3215144,7.1,Manufacturing,55,0.48,368714,639,6,East,E
APP-000486,4775839,5.4,Healthcare,328,0.81,628918,645,3,East,B
APP-000487,2745889,27.9,Healthcare,292,0.88,1046160,656,4,East,E
APP-000488,1021254,12.8,Technology,61,0.16,588694,744,1,Central,B
APP-000489,1131308,20,Technology,228,0.11,1272198,722,6,Central,D
APP-000490,3047136,17.5,Agriculture,360,0.46,207442,754,4,South,D
APP-000491,1901320,7,Construction,284,0.83,405000,781,0,South,C
APP-000492,1522699,28.9,Technology,347,0.81,733926,623,5,Central,E
APP-000493,4033918,16,Healthcare,184,0.64,196824,491,3,South,E
APP-000494,2880044,22.2,Agriculture,177,0.46,294892,677,4,East,D
APP-000495,3488780,22.2,Construction,199,0.81,1133628,805,6,East,E
APP-000496,2770708,25.1,Construction,425,0.89,185890,582,6,Central,E
APP-000497,1647860,0.6,Agriculture,249,0.23,22924,704,0,East,C
APP-000498,426205,7.3,Healthcare,414,0.68,1786452,597,5,North,E
APP-000499,1890113,3.5,Technology,389,0.1,143950,668,3,East,D
APP-000500,3469613,9.1,Healthcare,97,0.21,1261650,450,1,West,C
APP-000501,1443856,9.3,Construction,248,0.19,904846,753,3,East,C
APP-000502,4704094,14.6,Manufacturing,233,0.3,788454,768,1,West,B
APP-000503,1428818,13.7,Healthcare,134,0.78,323712,641,5,North,E
APP-000504,4346095,13.2,Technology,31,0.33,1846130,769,3,Central,D
APP-000505,3231479,2.2,Technology,392,0.51,949462,423,6,South,E
APP-000506,2447399,5.1,Manufacturing,341,0.54,389094,661,1,South,D
APP-000507,465077,7.7,Agriculture,261,0.84,1105110,507,1,South,D
APP-000508,279353,4.2,Agriculture,187,0.68,401318,672,5,North,E
APP-000509,609489,8.3,Retail,91,0.43,767820,648,2,South,C
APP-000510,292669,22,Technology,458,0.7,1712494,610,0,Central,D
APP-000511,3490389,4.8,Manufacturing,424,0.48,1882084,686,1,East,C
APP-000512,3241696,27.1,Technology,327,0.53,1936848,602,0,East,C
APP-000513,2048251,27.1,Manufacturing,31,0.72,1629948,629,2,North,D
APP-000514,3516817,20.2,Technology,269,0.34,617362,606,0,West,B
APP-000515,2387672,15,Agriculture,74,0.2,1216294,583,2,North,C
APP-000516,3405041,16.4,Manufacturing,397,0.89,189826,612,4,South,E
APP-000517,3515500,3.2,Technology,162,0.74,,723,1,Central,D
APP-000518,4981893,28.6,Healthcare,260,0.58,1460816,699,5,Central,D
APP-000519,1710898,7.3,Retail,344,0.35,649030,792,4,West,C
APP-000520,1395593,15.6,Healthcare,15,0.41,1523918,652,3,East,D
APP-000521,2010428,26.4,Construction,427,0.76,,610,3,West,E
APP-000522,2428247,7.6,Manufacturing,115,0.39,887644,635,4,East,D
APP-000523,185016,15.2,Construction,289,0.47,1741956,627,1,Central,C
APP-000524,4725339,27.8,Technology,8,0.18,860688,594,6,Central,D
APP-000525,728576,10.7,Construction,301,0.18,602830,713,5,East,D
APP-000526,3122614,16.5,Construction,79,0.39,1453036,621,0,West,B
APP-000527,4478978,11.6,Agriculture,306,0.4,640140,580,5,North,E
APP-000528,1590668,8.3,Retail,269,0.19,1243340,560,5,Central,D
APP-000529,2644993,15.5,Retail,468,0.4,1339322,596,1,South,D
APP-000530,3907570,20.3,Healthcare,385,0.8,336984,732,3,South,E
APP-000531,4153164,28.9,Healthcare,127,0.13,1485138,691,4,Central,C
APP-000532,4376389,17.4,Retail,104,0.75,1049472,702,5,West,E
APP-000533,2642701,18.7,Healthcare,97,0.65,1204318,694,5,East,E
APP-000534,4609891,7.4,Technology,161,0.73,1087346,738,0,East,C
APP-000535,2729306,18,Technology,59,0.63,841070,655,5,East,E
APP-000536,1612670,14.4,Healthcare,279,0.29,,630,1,South,C
APP-000537,3858683,6.9,Healthcare,169,0.12,,656,0,North,C
APP-000538,3767148,2.3,Manufacturing,245,0.68,457846,657,4,Central,E
APP-000539,1825575,5.1,Manufacturing,419,0.83,735954,592,1,Central,D
APP-000540,1905473,30,Technology,128,0.57,404244,715,3,South,D
