BatchId,Timestamp,TemperatureC,PressureBar,VibrationHz,HumidityPct,ProductionSpeedUnitsPerMin,MaterialBatchAge,OperatorShift,MaintenanceDaysSince
BAT-000309,2025-03-10 11:20:23,75.4,6.14,20.8,60,165.5,4,Evening,31
BAT-000310,2025-09-24 08:22:10,72,4.09,19.7,33,161.6,18,Evening,11
BAT-000311,2024-11-05 21:03:57,71.7,4.44,20.7,36,171.4,9,Day,48
BAT-000312,2024-03-07 07:14:15,79.1,4.92,34.2,64,185,25,Night,2
BAT-000313,2025-05-27 22:38:42,60.5,6.47,19.6,37,195.6,20,Day,42
BAT-000314,2024-01-16 08:52:51,64.9,5.87,18.4,34,159.5,23,Day,56
BAT-000315,2025-10-19 04:37:32,71.6,5.02,32,69,139.7,1,Evening,0
BAT-000316,2024-05-20 11:54:29,65.4,5.3,11.7,31,112.3,10,Night,53
BAT-000317,2024-08-12 23:50:40,62.9,6.88,12.4,65,185.1,26,Day,13
BAT-000318,2025-01-13 02:07:38,69.9,5.46,30.4,62,182.2,10,Night,56
BAT-000319,2024-04-17 05:19:16,73.6,6.26,28.5,52,191.9,5,Evening,28
BAT-000320,2024-06-04 16:10:18,78.7,6.57,24.2,49,197.7,11,Night,10
BAT-000321,2024-10-23 22:13:45,78.7,5.01,11.2,65,117.6,18,Day,50
BAT-000322,2024-08-13 17:51:31,78.9,5.96,12.1,51,86.3,12,Evening,30
BAT-000323,2024-01-12 04:16:29,73.6,5.98,26.5,64,129.1,17,Evening,9
BAT-000324,2024-06-23 16:59:19,80.6,5.83,31,49,170.9,5,Evening,3
BAT-000325,2024-12-11 11:38:10,82.3,4.3,21,50,147.6,19,Evening,57
BAT-000326,2024-06-25 14:49:20,74.2,6.75,20.4,36,194.8,28,Day,49
BAT-000327,2024-01-25 06:01:24,116,13.45,117.1,54,134.4,18,Night,37
BAT-000328,2024-07-12 02:41:49,71.7,5.94,22.8,40,112.8,14,Evening,17
BAT-000329,2025-08-17 09:00:16,73.1,6.87,10.3,56,135.3,2,Day,38
BAT-000330,2025-05-11 01:54:41,73.6,6.32,28,57,143.2,3,Day,50
BAT-000331,2024-06-14 04:28:11,68.4,4.83,13.2,44,107.3,7,Night,42
BAT-000332,2025-03-31 04:32:38,63.7,4.06,38.2,31,126.2,21,Evening,31
BAT-000333,2024-03-29 19:53:52,71.9,5.24,39.4,41,109.2,4,Evening,35
BAT-000334,2025-02-09 06:22:54,63.3,4.82,30.5,32,159.7,17,Day,56
BAT-000335,2025-03-10 07:29:23,64.5,5.85,39.1,47,155.2,3,Night,28
BAT-000336,2025-08-26 16:51:19,66.1,5.97,13,67,131.2,7,Evening,9
BAT-000337,2025-06-13 06:20:31,65.1,6.04,36,31,100.7,9,Night,26
BAT-000338,2025-02-04 15:04:05,62.5,4.14,27.2,69,182.3,26,Evening,11
BAT-000339,2024-12-20 22:36:47,66.6,5.86,33.6,62,154.7,12,Day,41
BAT-000340,2024-05-18 02:56:09,75.1,4.24,19.3,46,126.6,30,Night,32
BAT-000341,2025-11-07 05:37:59,79.4,5.26,11.6,48,177.3,30,Day,51
BAT-000342,2025-12-19 05:22:48,68,4.56,20.4,38,166.8,13,Day,55
BAT-000343,2024-09-07 15:59:42,69.1,6.04,21.3,35,171.7,27,Evening,16
BAT-000344,2024-11-20 04:45:06,65.5,5.76,16.2,37,87.2,24,Night,35
BAT-000345,2025-08-19 08:47:59,82,5.23,20.8,40,197.2,30,Night,58
BAT-000346,2024-01-16 09:24:31,73.5,6,14.3,40,179.9,17,Evening,22
BAT-000347,2025-09-29 18:38:30,95,13.56,82.7,42,148.4,19,Day,9
BAT-000348,2024-08-30 01:45:32,83.3,6.34,21.5,68,110.5,10,Evening,7
BAT-000349,2025-01-08 19:17:20,71.2,6.08,29.8,66,117.6,4,Day,56
BAT-000350,2025-10-16 01:50:04,64.9,6.48,26.2,54,92.6,20,Evening,19
BAT-000351,2025-05-10 05:07:07,82.3,4.06,28.9,44,143.7,29,Day,24
BAT-000352,2025-11-08 15:16:39,63.4,4.64,24.6,54,115.4,26,Evening,47
BAT-000353,2025-10-15 04:07:35,75.9,5.76,25.5,40,88.1,20,Evening,0
BAT-000354,2024-04-28 23:22:40,81.4,5.69,31.2,37,170,22,Night,21
BAT-000355,2024-08-17 21:01:42,72,4.67,36.4,40,171.1,3,Night,29
BAT-000356,2024-02-23 22:42:34,80.7,6.37,15.2,41,156.9,3,Night,3
BAT-000357,2024-10-29 08:11:22,60.6,4.73,12.9,69,132.2,27,Night,3
BAT-000358,2024-09-10 22:29:36,76.2,6.38,21.4,46,80,25,Evening,59
BAT-000359,2024-03-20 06:41:14,80.3,5.17,28.6,61,182.7,19,Night,22
BAT-000360,2024-08-16 14:53:29,75.2,5.46,19.3,44,144.6,19,Evening,35
BAT-000361,2025-02-28 23:30:30,76.9,5.38,17.6,41,113.1,20,Day,15
BAT-000362,2024-09-15 19:18:01,62.9,5.41,27.3,67,85.6,22,Night,53
BAT-000363,2024-01-24 17:49:07,61.3,4.98,30.5,61,128.7,3,Evening,25
BAT-000364,2025-08-25 15:22:42,81.9,6.65,10.6,35,177.4,4,Night,40
BAT-000365,2025-07-25 00:43:53,68.3,4.95,11.6,33,135.5,30,Day,37
BAT-000366,2024-12-06 19:24:13,69,6.61,16.4,56,105.1,27,Evening,31
BAT-000367,2024-06-08 01:01:30,72.8,6.55,13,54,194.4,30,Evening,47
BAT-000368,2025-10-13 18:27:01,79.6,6.62,22.8,63,106.1,13,Evening,39
BAT-000369,2025-05-12 15:55:32,74.2,5.05,33.2,37,133.2,24,Day,33
BAT-000370,2024-03-27 16:14:15,78.3,5.77,36.1,33,190,28,Evening,60
BAT-000371,2025-10-03 18:26:26,77.3,5.1,34.2,58,93.8,5,Night,57
BAT-000372,2025-04-17 08:28:09,80.3,5.42,35,51,146.4,20,Night,39
BAT-000373,2025-10-02 06:19:02,61.4,5.55,33,45,80.2,12,Day,45
BAT-000374,2024-07-30 15:06:23,62.7,6.53,36.1,53,130.7,1,Day,18
BAT-000375,2024-12-26 21:26:16,71.4,6.87,23.6,44,123.2,21,Day,58
BAT-000376,2024-04-21 00:36:54,63.7,5.92,23.9,69,190.4,22,Night,28
BAT-000377,2024-04-09 06:50:19,75.5,5.06,22.2,61,147.7,30,Evening,22
BAT-000378,2024-04-27 06:48:50,61.3,6.13,24.6,56,85.7,17,Day,30
BAT-000379,2025-01-18 21:47:29,61.8,5.9,29.2,54,160.1,3,Day,21
BAT-000380,2025-04-15 00:34:49,64.6,4.09,32.7,50,194.5,12,Evening,37
BAT-000381,2025-07-17 06:11:41,84,5.2,15.2,69,177.5,8,Day,37
BAT-000382,2024-03-31 19:49:43,83.9,6.3,28.2,56,166.7,4,Night,44
BAT-000383,2024-05-10 23:54:08,62.8,4.41,26.6,48,123.8,10,Evening,58
BAT-000384,2025-03-29 05:23:21,65.2,6.81,29.2,51,114.1,23,Day,35
BAT-000385,2025-08-21 11:43:20,74.6,6.16,38.6,52,120.8,2,Night,30
BAT-000386,2024-10-12 12:50:54,71.7,4.84,25.3,60,81.6,11,Night,2
BAT-000387,2024-04-18 06:54:29,76.4,4.49,19.5,51,90.1,2,Day,9
BAT-000388,2024-05-24 17:17:48,75.1,5.02,10.6,30,121.1,2,Night,30
BAT-000389,2025-10-08 21:27:36,65.1,6.62,39.8,68,127.9,15,Night,56
BAT-000390,2024-11-18 08:21:15,65.8,4.57,21.3,39,92.5,20,Night,8
BAT-000391,2024-11-21 21:49:56,83.6,6.58,30.5,46,118.8,8,Night,60
BAT-000392,2025-10-24 16:50:56,80.8,4.63,37.1,63,95.9,26,Night,57
BAT-000393,2025-10-12 14:15:32,79,5.29,34.8,39,185.1,13,Night,22
BAT-000394,2025-04-18 16:17:49,99,11.98,58.5,42,122.8,22,Night,53
BAT-000395,2025-02-15 11:43:50,61.9,4.52,20.5,64,103.5,5,Night,6
BAT-000396,2025-03-27 01:53:34,64.6,6.69,19,45,83.9,18,Day,28
BAT-000397,2024-11-01 10:49:30,80.2,5.19,13.3,48,195.5,13,Night,7
BAT-000398,2025-04-30 01:40:15,83.4,6.34,38.5,38,193.3,7,Evening,56
BAT-000399,2025-04-04 20:29:54,81,5.11,37.8,67,185.7,3,Evening,49
BAT-000400,2025-09-09 20:16:29,64.4,4.16,15.5,47,157.5,17,Day,56
BAT-000401,2025-05-19 06:17:01,71.4,4.66,17.8,62,142.1,10,Night,30
BAT-000402,2025-12-03 18:13:57,83,6.9,10.4,63,172,18,Night,54
BAT-000403,2025-11-13 15:46:38,63.9,4.08,20.7,42,153.1,28,Night,4
BAT-000404,2024-06-08 01:10:27,72.6,6.19,21.5,41,115.1,13,Evening,49
BAT-000405,2025-05-07 23:58:56,65.3,5.84,10.8,45,117.4,5,Night,25
BAT-000406,2024-11-10 08:44:46,81.9,5.59,14.2,60,156.7,16,Night,43
BAT-000407,2025-11-17 00:29:59,100,11.32,99.2,46,83.6,2,Day,43
BAT-000408,2024-07-13 15:19:27,79.3,5.23,28,42,164.7,4,Day,30
BAT-000409,2025-05-05 18:58:34,74.2,4.38,30.3,40,140.2,27,Evening,53
BAT-000410,2025-12-23 08:51:04,81,6.31,18.2,59,195.2,19,Day,55
BAT-000411,2025-10-16 11:28:14,82.2,5.16,37.3,66,91.2,20,Night,41
BAT-000412,2024-06-04 19:57:04,82.4,5.3,35,64,139.8,27,Day,30
BAT-000413,2025-10-11 18:18:08,69.5,6.74,16.4,65,125.9,3,Evening,46
BAT-000414,2025-09-23 11:48:46,62.8,4.35,13.8,37,175.7,12,Day,5
BAT-000415,2025-10-27 10:27:17,77.6,4.5,17.2,67,101.1,25,Evening,52
BAT-000416,2025-05-14 05:14:51,83.8,6.35,22.9,63,103.3,7,Night,29
BAT-000417,2025-08-15 18:20:24,74,5.13,31.5,32,173.9,16,Night,21
BAT-000418,2024-03-09 09:35:02,71.6,5.23,32.8,31,116.2,2,Day,2
BAT-000419,2024-10-28 17:40:07,64.1,5.81,28.6,52,100.4,23,Night,19
BAT-000420,2025-05-09 17:18:39,74.4,4.92,36.8,56,169.5,7,Day,51
BAT-000421,2024-10-27 14:47:47,78.1,4.33,38.4,62,134.8,1,Night,49
BAT-000422,2025-05-24 20:50:59,61,6.93,27.8,55,165.9,29,Day,44
BAT-000423,2024-10-22 03:47:46,63.8,5.43,32.3,41,156.4,12,Day,23
BAT-000424,2024-05-01 19:26:28,69.8,6.39,11.9,39,133.3,2,Evening,35
BAT-000425,2024-11-27 06:19:13,65.4,5.18,12.5,55,198.2,8,Evening,23
BAT-000426,2024-02-12 11:19:57,63.9,6.05,31.5,32,142.3,6,Night,49
BAT-000427,2024-03-10 16:17:08,70.1,4.53,19.1,55,177.5,25,Night,49
BAT-000428,2025-11-22 06:49:18,65.9,5.93,35.1,46,156.5,5,Night,46
BAT-000429,2024-02-16 18:43:40,62.8,6.14,10.7,41,137.2,12,Night,7
BAT-000430,2024-03-31 15:53:58,60.6,4.49,38.8,57,81.5,20,Evening,54
BAT-000431,2024-07-23 00:50:35,110.1,8.18,84.4,62,83,18,Day,14
BAT-000432,2024-08-12 18:21:09,71,6.78,28,37,133.5,8,Day,58
BAT-000433,2024-08-10 21:55:40,70.1,6.15,18.4,30,152.7,15,Evening,47
BAT-000434,2025-02-08 10:54:36,62,5.59,31,59,182.8,25,Evening,54
BAT-000435,2025-10-12 06:37:10,79.7,5.61,10.9,48,95.8,4,Evening,14
BAT-000436,2024-10-22 21:57:35,84.9,6.37,34.3,34,121.9,19,Evening,57
BAT-000437,2024-04-28 00:47:38,82.9,4.66,10.2,30,180,15,Day,24
BAT-000438,2025-06-14 16:38:32,65.5,5.32,24.9,54,96.8,8,Night,53
BAT-000439,2024-12-14 03:54:38,75.1,5.59,10.7,69,161.8,23,Day,26
BAT-000440,2024-05-10 03:28:08,77.3,4.37,18.5,39,173,29,Evening,37
BAT-000441,2025-10-11 01:43:22,74.7,4.92,10.8,59,172,26,Day,55
BAT-000442,2025-11-17 03:20:25,116.1,8.56,94,54,176,27,Night,27
BAT-000443,2025-04-12 22:59:45,65.4,6.33,20.1,68,108.7,26,Day,3
BAT-000444,2024-11-30 22:16:45,79.8,5.02,18.6,51,181.1,28,Night,4
BAT-000445,2024-04-20 18:20:21,68.5,4.52,11.3,69,164.6,12,Night,35
BAT-000446,2025-03-23 14:26:51,79.5,6.13,37.1,69,95.1,20,Night,0
BAT-000447,2025-05-20 14:19:04,62.5,5.76,21.9,65,137.7,15,Night,51
BAT-000448,2024-02-26 07:42:13,75.5,6.9,16.4,38,110.5,4,Evening,50
BAT-000449,2024-01-12 02:06:37,68.6,5.71,29,53,133.2,17,Night,48
BAT-000450,2024-05-18 11:35:43,78,4.8,22.9,50,108.3,2,Night,39
BAT-000451,2024-10-01 08:52:57,82.4,4.2,17.9,43,170.7,28,Day,56
BAT-000452,2024-09-24 03:45:46,69.4,6.69,16.6,40,105,21,Night,54
BAT-000453,2024-10-14 01:20:14,83.2,5.57,10.9,57,96.7,10,Night,27
BAT-000454,2024-02-05 15:19:53,84.8,6.64,34.8,44,173.3,29,Evening,57
BAT-000455,2024-12-30 11:24:50,66,6.77,33.1,31,118.3,17,Night,25
BAT-000456,2025-01-23 20:39:50,60.4,4.22,17.8,38,181.9,24,Evening,0
BAT-000457,2025-03-17 15:45:52,62,6,15.3,65,148.9,29,Day,2
BAT-000458,2024-08-27 00:54:38,71.5,4.64,24.5,58,178.8,7,Night,45
BAT-000459,2025-06-04 04:25:55,82.7,6.91,36.9,69,114.8,13,Day,19
BAT-000460,2024-09-18 00:13:09,82.2,4.58,14,59,81.3,6,Evening,47
